run_id,policy,p_hot,load_frac,lam,budget_level,gamma,c,rep,trace_seed,warm_hot_count,t_warm,gate_waits,n_steady,hit_rate,agg_mean_ttft,hot_p99_ttft,hot_mean_ttft,cold_p99_ttft,cold_mean_ttft,hot_p95_ttft,cold_p95_ttft,hot_p99_wait,cold_p99_wait,hot_attainment,cold_attainment,fi,node_util_0,node_util_1,node_util_2,node_util_3,hot_node_id,hot_node_util,overload_any,cache_tokens_0,evictions_0,cache_tokens_1,evictions_1,cache_tokens_2,evictions_2,cache_tokens_3,evictions_3,cv
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv4_r02,A,0.7,0.8,2.285714285714286,L1,1.0,32,2,1002,200,132.44675687733655,4998,9712,0.3533263301853696,17.893712382433304,76.50460972338975,20.812440313148592,62.11410614041135,10.866234817321619,59.006888031985824,43.569271447100625,75.97054124913694,3.603349290939878,0.084377732439522,0.46421052631578946,0.18176609028921972,0.8707543777656995,0.23570567681148555,0.2423369413877385,0.23817364870629287,0,0.8707543777656995,False,7841.0,7082,6235.0,958,6313.0,978,6099.0,966,4
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv4_r03,A,0.7,0.8,2.285714285714286,L1,1.0,32,3,1003,200,124.00823638926208,3457,9720,0.351978508113528,10.125821050458212,41.79815707516137,12.440067377150863,27.150379717883244,4.637613580601235,32.71082527673952,20.007012682379408,41.298235200161365,3.0560178729047887,0.10984349861050169,0.6038848421782865,0.18189477684898125,0.8252119357370011,0.2248371388318868,0.23183168263538154,0.2262618060055624,0,0.8252119357370011,False,7368.0,7064,6431.0,964,6063.0,990,7909.0,966,4
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv4_r04,A,0.7,0.8,2.285714285714286,L1,1.0,32,4,1004,200,120.59807578335084,3567,9722,0.3473122106367578,10.80223075382056,48.275632222804084,13.351948011943692,33.66686868357505,4.99726274619611,36.153883560579,22.112928686386187,47.764913176939366,4.50694653943767,0.10866025166543301,0.5945399393326593,0.18276358655971642,0.8114729479593218,0.23184646843576176,0.23420409294705968,0.23709454118728282,0,0.8114729479593218,False,8085.0,6971,6299.0,996,6194.0,1001,6344.0,1016,4
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv4_r05,A,0.7,0.8,2.285714285714286,L1,1.0,32,5,1005,200,111.25206397493,4480,9669,0.34857418870139023,13.5120263333107,51.21178033594939,16.289263921578296,36.75681505486436,7.1275067598726025,42.38300519695537,28.53923703012947,50.71620729043782,3.3221454357358127,0.09973285841495994,0.5247355851245309,0.19006307413150036,0.821108086853314,0.23584714278798183,0.2360609493408597,0.22918989308223495,0,0.821108086853314,False,7306.0,6976,8137.0,1011,8113.0,1012,7899.0,983,4
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv4_r06,A,0.7,0.8,2.285714285714286,L1,1.0,32,6,1006,200,177.76525085453662,3174,9681,0.356830711608334,10.599288216407931,47.75028868567242,12.803623510484531,32.65342920645678,5.09959102602404,39.991169981116286,26.237088811286082,47.19760565876929,2.92438110907421,0.13529156417305743,0.6364620938628159,0.21256814110003916,0.7973398462972217,0.20609528316253875,0.21208002246517302,0.2074838114064463,0,0.7973398462972217,False,7189.0,7157,6068.0,932,8101.0,956,6128.0,939,4
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv4_r07,A,0.7,0.8,2.285714285714286,L1,1.0,32,7,1007,200,113.01680249074228,4306,9727,0.3505147291692912,12.470824407007827,49.577934573682136,15.268728042866323,35.50357586104966,5.906771157418927,41.026137922630426,27.72397575737143,49.05321516353295,2.9100863678247744,0.08211143695014662,0.5524595803233574,0.14862885878834137,0.8531188563933252,0.24293040607231076,0.23502030648583025,0.24044331117125503,0,0.8531188563933252,False,7139.0,7032,8118.0,998,8035.0,965,6277.0,988,4
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv4_r08,A,0.7,0.8,2.285714285714286,L1,1.0,32,8,1008,200,136.38893549609034,4198,9703,0.34949536474081605,12.96519567322163,59.40820687208104,15.637917104560543,46.10114348621947,6.741376436196396,44.2484681176075,31.58891699063172,58.94283495845557,2.8614422435044444,0.09546258102533883,0.5358490566037736,0.1781519998008084,0.8138313622129273,0.2273074613667337,0.23554013252370512,0.22377296412991024,0,0.8138313622129273,False,8134.0,7017,7879.0,981,7999.0,1016,8062.0,967,4
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv4_r09,A,0.7,0.8,2.285714285714286,L1,1.0,32,9,1009,200,135.1848797234791,3327,9713,0.35217184504063015,11.15863744472485,56.468869687188906,13.389034774828014,40.9583134408435,5.853782855769915,42.627661782242605,29.845263850452138,55.97364996062641,3.805422567287641,0.14097689382860484,0.6121739130434782,0.2302889600893403,0.7513778741111303,0.209376610188495,0.20538639632300326,0.20566366161735256,0,0.7513778741111303,False,8141.0,7061,6277.0,986,8069.0,967,7981.0,968,4
e2b_A_p0.7_c032_l0.80_L1_g1.0_cv4_r10,A,0.7,0.8,2.285714285714286,L1,1.0,32,10,1010,200,146.77155070688542,3391,9692,0.35559800841030015,10.011758644191232,50.701193434356334,12.369102641982339,34.497329314884006,4.206409527801769,31.477363853520906,17.347929637455305,50.247404371856334,2.244946802399677,0.10938633396199042,0.6302250803858521,0.17356709113356641,0.808303215004751,0.21153786326612353,0.2142102858955179,0.220422523314781,0,0.808303215004751,False,8186.0,7116,6154.0,942,6196.0,949,6184.0,977,4
e2b_A_p0.7_c032_l0.80_L2_g1.0_cv2_r01,A,0.7,0.8,2.285714285714286,L2,1.0,32,1,1001,200,133.98933799811545,19,9713,0.3452900110375137,2.755730764229701,12.912137593766673,3.5115045831558835,1.9596403846418564,1.0726902631459128,9.384286791258688,1.612682948147198,12.405331609939415,0.9238228114877528,0.3810234223482023,0.9933554817275747,0.3835720740027053,0.8157571396210902,0.23326920079727967,0.22884051775866165,0.22385898481978933,0,0.8157571396210902,False,3179.0,7008,2072.0,1013,3973.0,999,3992.0,973,2
e2b_A_p0.7_c032_l0.80_L2_g1.0_cv2_r02,A,0.7,0.8,2.285714285714286,L2,1.0,32,2,1002,200,118.90175157429266,77,9718,0.35326565041617675,3.105276687295091,14.346446428322668,3.9445029859718757,2.2110537822375047,1.085897598470652,10.97737563348737,1.6582275232023678,13.852253429605788,0.9938343294933247,0.3415877640203933,0.984577637574483,0.3469383733535714,0.8337965111145947,0.21878499035889615,0.2197753480111019,0.2249801023774477,0,0.8337965111145947,False,3953.0,7140,2017.0,945,2133.0,942,1994.0,967,2
e2b_A_p0.7_c032_l0.80_L2_g1.0_cv2_r03,A,0.7,0.8,2.285714285714286,L2,1.0,32,3,1003,200,133.4424300443025,122,9712,0.3519587858245464,3.2699925085959562,16.446022030279874,4.192443137669221,2.173982013308338,1.0828143596200897,10.895712491168553,1.6229349574605294,15.9359279799452,0.9399223557170434,0.3328941589811155,0.986463033668865,0.33746237580034966,0.8300660555469512,0.22060359244195138,0.2247404278039643,0.22691602126947405,0,0.8300660555469512,False,3261.0,7107,2142.0,947,3930.0,965,3985.0,974,2
